time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-08-03 13:42:21.329 UTC, ,125,3159301,1160,13312,136, ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,17,6, , , , , , , , , , , , , ,4359,3, ,3346, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231740797,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,2048,1, , , , ,106496,25, , , , , , , , , , ,20171512,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:21.377 UTC, ,125,3165477,1160,19624, , ,5, ,6,2,0.33, , , , , , , ,5,5, , , ,3,2,8, ,3,2, , , , , , , , , , , , , ,4359,3, ,3346, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231740797,3145728, , , ,6, , , , , , , ,3, , , , ,6,1, , , , , , ,12288,6, , , , , , , , , , ,20860264,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:46.202 UTC, ,125,3159301,1160,13312,136, ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,17,6, , , , , , , , , , , , , ,4359,3, ,3346, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231765738,3145728, , , ,14, , , ,3, , , ,3, , , , ,14,1,2048,1, , , , ,106496,25, , , , , , , , , , ,20174272,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:46.272 UTC, ,125,3165477,1160,19624, , ,5, ,6,2,0.33, , , , , , , ,5,5, , , ,3,2,8, ,3,2, , , , , , , , , , , , , ,4359,3, ,3346, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231765738,3145728, , , ,6, , , , , , , ,3, , , , ,6,1, , , , , , ,12288,6, , , , , , , , , , ,20863024,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:55.059 UTC, ,125,3159437,1160,13312,272, ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,19,7, , , , , , , , , , , , , ,4359,3, ,3346, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231774595,3145728, , , ,15, , , ,3, , , ,3, , , , ,15,1,2048,1, , , , ,108544,26, , , , , , , , , , ,20174984,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:42:55.181 UTC, ,125,3165477,1160,19624, , ,5, ,13,2,0.15, , , , , , , ,5,5, , , ,3,2,8, ,1,1, , , , , , , , , , , , , ,4359,3, ,3346, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231774595,3145728, , , ,5,10,39,10,2,10, , ,3,10, , , ,5,1, , , , , , ,14336,7,789,10, , , , , , , , ,20864272,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,10, , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:43:00.190 UTC, ,125,3158021,928,12088,80, ,3, ,17,3,0.18, , , , , , , ,3,3, ,2, ,2,1,5, ,13,5, , , , , , , , , , , , , ,6500,4, ,5245, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231779655,3145728, , , ,13, , , ,3, , , ,3, , , , ,13,1,2048,1, , , , ,104448,24, , , , , , , , , , ,20175440,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:43:00.277 UTC, ,125,3165925,1160,20072, , ,5, ,7,2,0.29, , , , , , , ,5,5, , , ,3,2,8, ,4,3, , , , , , , , , , , , , ,6500,4, ,5245, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231779655,3145728, , , ,7, , , , , , , ,3, , , , ,7,1, , , , , , ,14336,7, , , , , , , , , , ,20864192,-1, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20, , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:43:44.381 UTC, ,125,3158077,928,12088,136, ,3, ,18,3,0.17, , , , , , , ,3,3, ,2, ,2,1,5, ,14,5, , , , , , , , , , , , , ,6500,4, ,5245, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231823879,3145728, , , ,13, , , ,3, , , ,3, , , , ,13,1,2048,1, , , , ,104448,24, , , , , , , , , , ,20179032,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-08-03 13:43:44.491 UTC, ,125,3165925,1160,20072, , ,5, ,15,2,0.13, , , , , , , ,5,5, , , ,3,2,8, ,3,3, , , , , , , , , , , , , ,6500,4, ,5245, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1470231823879,3145728, , , ,7,10,43,10,2,10, , ,3,10, , , ,7,1, , , , , , ,18432,9,807,10, , , , , , , , ,20860696,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,10, , , , , , , , , , , , , , , , , , , , , 
